IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 12/20/2021 To 01/02/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
Toronto and East York District,OPA / Rezoning,21 251437 STE 10 OZ,127 STRACHAN AVE    ,2021-12-24,Under Review ,"Official Plan and Zoning By-law amendment application to facilitate the redevelopment of the site for a 14 storey mixed-use building having a non-residential gross floor area of 339 square metres, and a residential gross floor area of 20,983 square metres.",109-127 STRACHAN AVE,1904041390010000000
Toronto and East York District,OPA / Rezoning,21 251437 STE 10 OZ,109 STRACHAN AVE    ,2021-12-24,Under Review ,"Official Plan and Zoning By-law amendment application to facilitate the redevelopment of the site for a 14 storey mixed-use building having a non-residential gross floor area of 339 square metres, and a residential gross floor area of 20,983 square metres.",109-127 STRACHAN AVE,1904
North York District,OPA / Rezoning,21 251175 NNY 08 OZ,1141 ROSELAWN AVE    ,2021-12-23,Under Review ,,1141 ROSELAWN AVE,1914043340010000000
Toronto and East York District,OPA / Rezoning,21 252006 STE 13 OZ,415 YONGE ST    ,2021-12-29,Application Received,"Official Plan Amendment to facilitate the redevelopment of the site for a 69-storey mixed-use building having a non-residential gross floor area of 6,595 square metres, and a residential gross floor area of 34,424 square metres.  471 residential dwelling units are proposed.",415 YONGE ST,1904066680006000000
Scarborough District,OPA / Rezoning,21 250500 ESC 25 OZ,4630 KINGSTON RD    ,2021-12-21,Under Review ,,4630 KINGSTON RD,1901092220007500000
North York District,OPA / Rezoning,21 251832 NNY 08 OZ,3300 DUFFERIN ST    ,2021-12-29,Application Received,"Official Plan and Zoning By-law Amendment Applicaiton to facilitate the redevelopment of the site for a 28-storey mixed-use building having a non-residential gross floor area of 971 square metres, and a residential gross floor area of 24,278.4 square metres.  351 residential dwelling units are proposed.",3300 DUFFERIN ST,1908042330032000000
North York District,OPA / Rezoning,21 252332 NNY 18 OZ,15 MOORE PARK AVE    ,2021-12-31,Application Received,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 760 square metres, and a residential gross floor area of 24,332 square metres.  347 residential dwelling units are proposed.",6200 YONGE ST & 11-15 MOORE PARK AVE,1908073470023000000
North York District,OPA / Rezoning,21 252332 NNY 18 OZ,11 MOORE PARK AVE    ,2021-12-31,Application Received,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 760 square metres, and a residential gross floor area of 24,332 square metres.  347 residential dwelling units are proposed.",6200 YONGE ST & 11-15 MOORE PARK AVE,1908073470024000000
North York District,OPA / Rezoning,21 252332 NNY 18 OZ,6200 YONGE ST    ,2021-12-31,Application Received,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 760 square metres, and a residential gross floor area of 24,332 square metres.  347 residential dwelling units are proposed.",6200 YONGE ST & 11-15 MOORE PARK AVE,1908
Scarborough District,OPA / Rezoning,21 250150 ESC 24 OZ,3434 LAWRENCE AVE E  ,2021-12-20,Application Received,Proposed redevelopment of existing site for two new 24 storey residential buildings combined with townhouse units facing Greenbrae Circuit.,3434 LAWRENCE AVE E,1901052770028000000
North York District,OPA / Rezoning,21 251407 NNY 17 OZ,245 YORKLAND BLVD    ,2021-12-24,Application Received,,235 - 245 YORKLAND BLVD,1908111210015000000
North York District,OPA / Rezoning,21 251407 NNY 17 OZ,235 YORKLAND BLVD    ,2021-12-24,Application Received,,235 - 245 YORKLAND BLVD,1908111210015500000
North York District,OPA / Rezoning,21 252235 NNY 08 OZ,2451 DUFFERIN ST    ,2021-12-30,Under Review ,"Zoning by-law Amendment application for a 20-storey mixed-use building having a non-residential gross floor area of 706 square metres, and a residential gross floor area of 35,455.80 square metres.  462 residential dwelling units are proposed.",2451 DUFFERIN ST,1914032210001000000
North York District,OPA / Rezoning,21 252447 NNY 18 OZ,277 FINCH AVE W  ,2021-12-31,Application Received,,277 FINCH AVE W,1908072600007000000
Etobicoke York District,OPA / Rezoning,21 252238 WET 03 OZ,4 SUPERIOR AVE    ,2021-12-30,Application Received,,2 & 4 SUPERIOR AVE,1919051450038010000
Etobicoke York District,OPA / Rezoning,21 252238 WET 03 OZ,2 SUPERIOR AVE    ,2021-12-30,Application Received,,2 & 4 SUPERIOR AVE,1919051450039100000
Toronto and East York District,OPA / Rezoning,21 251957 STE 10 OZ,45 THE ESPLANADE     ,2021-12-29,Under Review ,"Official Plan and Zoning By-law Amendment to facilitate the redevelopment of the site for two 36-storey mixed-use buildings having a non-residential gross floor area of 8627 square metres, and a residential gross floor area of 45,407 square metres.  682 residential dwelling units are proposed.",45 THE ESPLANADE,1904064090000800000
